paragraph_index,original_iast,aksharamukha_output,sanscript_output
730,bhāratākhyānam akhilaṁ cakre tad-upabṛṁhitam ||,भारताख्यानम् अखिलं चक्रे तदुपबृंहितम् ॥,भारताख्यानम् अखिलꣳ चक्रे तदुपबृꣳहितम् ॥
732,"iti vacanasyārthaḥ—satyavatī-sutaḥ aṣṭādaśa-purāṇaṁ kṛtvā bhāratākhyānam akhilaṁ pūrṇaṁ cakre | khila-śabdasyānarthatvāt | tad-upabṛṁhitaṁ—vedārthair yutam | yad vā, akhilaṁ tad eva lokādi-gata-sarvaṁ bhāratākhyānam, tad-upabṛṁhitaṁ taiḥ purāṇaiḥ | upabṛṁhitaṁ pūrṇaṁ cakre ity anvayaḥ, na tu aṣṭādaśa-purāṇāni kṛtvā bhārataṁ cakre ity anvayaḥ, śruty-ādi-virodhāpatteḥ | ata eva vakṣyamāṇa-garuḍa-purāṇa-bhāgavata-lakṣaṇe—artho’yaṁ brahma-sūtrāṇāṁ bhāratārtha-vinirṇayaḥ ity uktam | tathoktam iti—prasiddha-purāṇasya vedatvam uktam ||13||","इति वचनस्यार्थः—सत्यवतीसुतः अष्टादशपुराणं कृत्वा भारताख्यानम् अखिलं पूर्णं चक्रे । खिलशब्दस्यानर्थत्वात् । तदुपबृंहितं—वेदार्थैर् युतम् । यद् वा, अखिलं तद् एव लोकादिगतसर्वं भारताख्यानम्, तदुपबृंहितं तैः पुराणैः । उपबृंहितं पूर्णं चक्रे इत्य् अन्वयः, न तु अष्टादशपुराणानि कृत्वा भारतं चक्रे इत्य् अन्वयः, श्रुत्यादिविरोधापत्तेः । अत एव वक्ष्यमाणगरुडपुराणभागवतलक्षणे—अर्थोऽयं ब्रह्मसूत्राणां भारतार्थविनिर्णयः इत्य् उक्तम् । तथोक्तम् इति—प्रसिद्धपुराणस्य वेदत्वम् उक्तम् ॥१३॥","इति वचनस्यार्थः—सत्यवतीसुतः अष्टादशपुराणꣳ कृत्वा भारताख्यानम् अखिलꣳ पूर्णꣳ चक्रे । खिलशब्दस्यानर्थत्वात् । तदुपबृꣳहितꣳ—वेदार्थैर् युतम् । यद् वा, अखिलꣳ तद् एव लोकादिगतसर्वꣳ भारताख्यानम्, तदुपबृꣳहितꣳ तैः पुराणैः । उपबृꣳहितꣳ पूर्णꣳ चक्रे इत्य् अन्वयः, न तु अष्टादशपुराणानि कृत्वा भारतꣳ चक्रे इत्य् अन्वयः, श्रुत्यादिविरोधापत्तेः । अत एव वक्ष्यमाणगरुडपुराणभागवतलक्षणे—अर्थोऽयꣳ ब्रह्मसूत्राणाꣳ भारतार्थविनिर्णयः इत्य् उक्तम् । तथोक्तम् इति—प्रसिद्धपुराणस्य वेदत्वम् उक्तम् ॥१३॥"
734,"gaura-kiśora-gosvāmī : purāṇasya prāmāṇya-dṛḍhīkaraṇāya asyaiva tu pañcama-vedatvaṁ nirdiśati | ṣaḍ-aṅga-veda-purāṇānām āvirbhāva-kathām āha—purā iti | anityatvāśaṅkā-nirāsāya āha—nitya-śabda-mayaḥ iti | dhvaṁsa-prāg-abhāva-rahitatvaṁ hi nityatvam | sasṛje āvirbhāvayāmāsa | anyathā karmaja-sṛṣṭi-svīkāra anityatva-prasaṅgāt sva-vacana-virodhaḥ | purāṇasya pañcama-vedatva-jñāpaka-ślokāḥ yathā-krameṇoddhṛtāḥ | purāṇaṁ pañcamaṁ vedam ity ādīni | kārṣṇaḥ kṛṣṇa-dvaipāyaṇa-vyāsena racitaṁ saṅkalitam | na kevalaṁ purāṇa-vacana-balena pañcama-vedatvaṁ vyavasthāpitam, api tu ṛg-vedaṁ bhagavo’dhyemi ity-ādi śrutyā purāṇasya pañcama-vedatvaṁ nirdiṣṭam | purāṇādau śūdrāṇām adhikāra-darśanāt na caiṣāṁ veda-rūpatvam iti yaḥ pūrva-pakṣiṇām ākṣepaḥ so’py anena nirastaḥ ||13||","गौरकिशोरगोस्वामी : पुराणस्य प्रामाण्यदृढीकरणाय अस्यैव तु पञ्चमवेदत्वं निर्दिशति । षडङ्गवेदपुराणानाम् आविर्भावकथाम् आह—पुरा इति । अनित्यत्वाशङ्कानिरासाय आह—नित्यशब्दमयः इति । ध्वंसप्रागभावरहितत्वं हि नित्यत्वम् । ससृजे आविर्भावयामास । अन्यथा कर्मजसृष्टिस्वीकार अनित्यत्वप्रसङ्गात् स्ववचनविरोधः । पुराणस्य पञ्चमवेदत्वज्ञापकश्लोकाः यथाक्रमेणोद्धृताः । पुराणं पञ्चमं वेदम् इत्य् आदीनि । कार्ष्णः कृष्णद्वैपायणव्यासेन रचितं सङ्कलितम् । न केवलं पुराणवचनबलेन पञ्चमवेदत्वं व्यवस्थापितम्, अपि तु ऋग्वेदं भगवोऽध्येमि इत्यादि श्रुत्या पुराणस्य पञ्चमवेदत्वं निर्दिष्टम् । पुराणादौ शूद्राणाम् अधिकारदर्शनात् न चैषां वेदरूपत्वम् इति यः पूर्वपक्षिणाम् आक्षेपः सोऽप्य् अनेन निरस्तः ॥१३॥","गौरकिशोरगोस्वामी : पुराणस्य प्रामाण्यदृढीकरणाय अस्यैव तु पञ्चमवेदत्वꣳ निर्दिशति । षडङ्गवेदपुराणानाम् आविर्भावकथाम् आह—पुरा इति । अनित्यत्वाशङ्कानिरासाय आह—नित्यशब्दमयः इति । ध्वꣳसप्रागभावरहितत्वꣳ हि नित्यत्वम् । ससृजे आविर्भावयामास । अन्यथा कर्मजसृष्टिस्वीकार अनित्यत्वप्रसङ्गात् स्ववचनविरोधः । पुराणस्य पञ्चमवेदत्वज्ञापकश्लोकाः यथाक्रमेणोद्धृताः । पुराणꣳ पञ्चमꣳ वेदम् इत्य् आदीनि । कार्ष्णः कृष्णद्वैपायणव्यासेन रचितꣳ सङ्कलितम् । न केवलꣳ पुराणवचनबलेन पञ्चमवेदत्वꣳ व्यवस्थापितम्, अपि तु ऋग्वेदꣳ भगवोऽध्येमि इत्यादि श्रुत्या पुराणस्य पञ्चमवेदत्वꣳ निर्दिष्टम् । पुराणादौ शूद्राणाम् अधिकारदर्शनात् न चैषाꣳ वेदरूपत्वम् इति यः पूर्वपक्षिणाम् आक्षेपः सोऽप्य् अनेन निरस्तः ॥१३॥"
740,pañcamatve kāraṇaṁ ca vāyu-purāṇesūta-vākyam—,पञ्चमत्वे कारणं च वायुपुराणेसूतवाक्यम्—,पञ्चमत्वे कारणꣳ च वायुपुराणेसूतवाक्यम्—
742,itihāsa-purāṇānāṁ vaktāraṁ samyag eva hi |,इतिहासपुराणानां वक्तारं सम्यग् एव हि ।,इतिहासपुराणानाꣳ वक्तारꣳ सम्यग् एव हि ।
743,māṁ caiva pratijagrāha bhagavān īśvaraḥ prabhuḥ ||,मां चैव प्रतिजग्राह भगवान् ईश्वरः प्रभुः ॥,माꣳ चैव प्रतिजग्राह भगवान् ईश्वरः प्रभुः ॥
744,eka āsīd yajur vedas taṁ caturdhā vyakalpayat |,एक आसीद् यजुर् वेदस् तं चतुर्धा व्यकल्पयत् ।,एक आसीद् यजुर् वेदस् तꣳ चतुर्धा व्यकल्पयत् ।
745,cāturhotram abhūt tasmiṁs tenayajñam akalpayat ||,चातुर्होत्रम् अभूत् तस्मिंस् तेनयज्ञम् अकल्पयत् ॥,चातुर्होत्रम् अभूत् तस्मिꣳस् तेनयज्ञम् अकल्पयत् ॥
746,ādhvaryavaṁ yajurbhis tu ṛgbhir hotraṁ tathaiva ca |,आध्वर्यवं यजुर्भिस् तु ऋग्भिर् होत्रं तथैव च ।,आध्वर्यवꣳ यजुर्भिस् तु ऋग्भिर् होत्रꣳ तथैव च ।
747,audgātraṁ sāmabhiś caiva brahmatvaṁ cāpy atharvabhiḥ || [vā.pu. 60.16-18],औद्गात्रं सामभिश् चैव ब्रह्मत्वं चाप्य् अथर्वभिः ॥ [वा.पु. ६०.१६-१८],औद्गात्रꣳ सामभिश् चैव ब्रह्मत्वꣳ चाप्य् अथर्वभिः ॥ [वा.पु. ६०.१६-१८]
750,purāṇa-saṁhitāś cakre purāṇārtha-viśāradaḥ ||,पुराणसंहिताश् चक्रे पुराणार्थविशारदः ॥,पुराणसꣳहिताश् चक्रे पुराणार्थविशारदः ॥
751,yac chiṣṭaṁ tu yajur-veda iti śāstrārtha-nirṇayaḥ | [vā.pu. 60.21-22],यच् छिष्टं तु यजुर्वेद इति शास्त्रार्थनिर्णयः । [वा.पु. ६०.२१-२२],यच् छिष्टꣳ तु यजुर्वेद इति शास्त्रार्थनिर्णयः । [वा.पु. ६०.२१-२२]
753,iti brahma-yajñādhyayane ca viniyogo dṛśyate’mīṣāṁ yad brāhmaṇānītihāsa-purāṇāni iti | so’pi nāvedatve sambhavati | ato yad āha bhagavānmātsye—,इति ब्रह्मयज्ञाध्ययने च विनियोगो दृश्यतेऽमीषां यद् ब्राह्मणानीतिहासपुराणानि इति । सोऽपि नावेदत्वे सम्भवति । अतो यद् आह भगवान्मात्स्ये—,इति ब्रह्मयज्ञाध्ययने च विनियोगो दृश्यतेऽमीषाꣳ यद् ब्राह्मणानीतिहासपुराणानि इति । सोऽपि नावेदत्वे सम्भवति । अतो यद् आह भगवान्मात्स्ये—
755,kālenāgrahaṇaṁ matvā purāṇasya dvijottamāḥ |,कालेनाग्रहणं मत्वा पुराणस्य द्विजोत्तमाः ।,कालेनाग्रहणꣳ मत्वा पुराणस्य द्विजोत्तमाः ।
756,vyāsa-rūpam ahaṁ kṛtvā saṁharāmi yuge yuge || [ma.pu. 53.8-9],व्यासरूपम् अहं कृत्वा संहरामि युगे युगे ॥ [म.पु. ५३.८-९],व्यासरूपम् अहꣳ कृत्वा सꣳहरामि युगे युगे ॥ [म.पु. ५३.८-९]
758,itipūrva-siddham eva purāṇaṁ sukha-saṅgrahaṇāya saṅkalpayāmīti tatrārthaḥ | tad-anantaraṁ hy uktam—,इतिपूर्वसिद्धम् एव पुराणं सुखसङ्ग्रहणाय सङ्कल्पयामीति तत्रार्थः । तदनन्तरं ह्य् उक्तम्—,इतिपूर्वसिद्धम् एव पुराणꣳ सुखसङ्ग्रहणाय सङ्कल्पयामीति तत्रार्थः । तदनन्तरꣳ ह्य् उक्तम्—
765,"atra tu “yac chiṣṭaṁ tu yajur-vede” ity uktatvāt tasyābhidheya-bhāgaś “caturlakṣas” tv atra martya-loke “saṅkṣepeṇa” sāra-saṅgraheṇa “niveśitaḥ,” na tu racanāntareṇa ||14||","अत्र तु “यच् छिष्टं तु यजुर्वेदे” इत्य् उक्तत्वात् तस्याभिधेयभागश् “चतुर्लक्षस्” त्व् अत्र मर्त्यलोके “सङ्क्षेपेण” सारसङ्ग्रहेण “निवेशितः,” न तु रचनान्तरेण ॥१४॥","अत्र तु “यच् छिष्टꣳ तु यजुर्वेदे” इत्य् उक्तत्वात् तस्याभिधेयभागश् “चतुर्लक्षस्” त्व् अत्र मर्त्यलोके “सङ्क्षेपेण” सारसङ्ग्रहेण “निवेशितः,” न तु रचनान्तरेण ॥१४॥"
767,sarva-saṁvādinī : na vyākhyātam.,सर्वसंवादिनी : न व्याख्यातम्।,सर्वसꣳवादिनी : न व्याख्यातम्.
769,baladevaḥ : pañcamatve kāraṇaṁ ceti | ṛg-ādibhiś caturbhiś cāturhotraṁ caturbhir ṛtvigbhir nispādyaṁ karma bhavati itihāsādibhyāṁ tan na bhavatīti tad-bhāgasya pañcamatvam ity arthaḥ | ākhyānaiḥ pañca-lakṣaṇaiḥ purāṇāni | upākhyānaiḥ purā-vṛttaiḥ | gāthābhiś chando-viśeṣaiś ca | saṁhitā bhārata-rūpāś cakre| tāś ca yac chiṣṭaṁ tu yajur vedas tad-rūpā ity arthaḥ | brahmeti brahma-yajñe vedādhyayane’mīṣām itihāsādīnāṁ viniyogo dṛśyate | so’pi viniyogas teṣām avedatve na sambhavati | kṛtvā’virbhāvya | saṅkalayāmi saṅkṣipāmi | abhidheya-bhāgaḥ sārāṁśaḥ ||14||,बलदेवः : पञ्चमत्वे कारणं चेति । ऋगादिभिश् चतुर्भिश् चातुर्होत्रं चतुर्भिर् ऋत्विग्भिर् निस्पाद्यं कर्म भवति इतिहासादिभ्यां तन् न भवतीति तद्भागस्य पञ्चमत्वम् इत्य् अर्थः । आख्यानैः पञ्चलक्षणैः पुराणानि । उपाख्यानैः पुरावृत्तैः । गाथाभिश् छन्दोविशेषैश् च । संहिता भारतरूपाश् चक्रे। ताश् च यच् छिष्टं तु यजुर् वेदस् तद्रूपा इत्य् अर्थः । ब्रह्मेति ब्रह्मयज्ञे वेदाध्ययनेऽमीषाम् इतिहासादीनां विनियोगो दृश्यते । सोऽपि विनियोगस् तेषाम् अवेदत्वे न सम्भवति । कृत्वाऽविर्भाव्य । सङ्कलयामि सङ्क्षिपामि । अभिधेयभागः सारांशः ॥१४॥,बलदेवः : पञ्चमत्वे कारणꣳ चेति । ऋगादिभिश् चतुर्भिश् चातुर्होत्रꣳ चतुर्भिर् ऋत्विग्भिर् निस्पाद्यꣳ कर्म भवति इतिहासादिभ्याꣳ तन् न भवतीति तद्भागस्य पञ्चमत्वम् इत्य् अर्थः । आख्यानैः पञ्चलक्षणैः पुराणानि । उपाख्यानैः पुरावृत्तैः । गाथाभिश् छन्दोविशेषैश् च । सꣳहिता भारतरूपाश् चक्रे। ताश् च यच् छिष्टꣳ तु यजुर् वेदस् तद्रूपा इत्य् अर्थः । ब्रह्मेति ब्रह्मयज्ञे वेदाध्ययनेऽमीषाम् इतिहासादीनाꣳ विनियोगो दृश्यते । सोऽपि विनियोगस् तेषाम् अवेदत्वे न सम्भवति । कृत्वाऽविर्भाव्य । सङ्कलयामि सङ्क्षिपामि । अभिधेयभागः साराꣳशः ॥१४॥
771,"rādhā-mohana-gosvāmī : yajur-vedasya veda-sāmānya-rūpatva-kathanam ṛk-sāmātharva-vedātiriktasya yajur-vedatva-lābhāya | ata evoktaṁ—yajuḥ sarvatra gīyata iti caturdhā vibhāga-nimittam adhvaryutvādi kārya-bheda iti bhāvaḥ | yac chiṣṭaṁ tu yajur-vedaḥ iti | adhvaryutva-lakṣaṇa-vedebhyaḥ kāṁścid vedān ādāya yajur-ādi-nāma-bhedena vibhāge kṛte yad avaśiṣṭam, tad api yajur-veda-nāmakam ity arthaḥ | na ca—asya mahato bhūtasya iti śrutau ṛg-ādi-krameṇaiva jātatvāt, katham ekasya yajur-vedasya ṛg-ādi-bhedena vibhāgo vyāsa-kṛta iti vācyam | ṛg-ādi-krameṇa veda udbhūtaḥ | tatra yajurvedasya pracuratvena samuditasya yajur-vedatvenaikatvena ca vyavahārāt tathokteḥ, ādhikyena vyapadeśā bhavanti iti nyāyāt | ṛg-ādi-bhedena vedasya caturdhā-vyavahārasya prāk sattve’pi tad-adhikāri-bheda-kārya-bheda-vyavasthayā vyāsena vyavasthāpanāt tasya vibhāga-kṛttva-vyapadeśa iti bhāvaḥ | ākhyānair iti praśnottara-vacana-nibandhaiḥ sūta-śaunaka-saṁvāda-rūpair ity arthaḥ | upākhyānaiḥ—prāthamika-granthābhidheya-prakāśakaiḥ śuka-parīkṣit-saṁvādādi-rūpaiḥ | gāthābhiḥ—purā-vṛttetihāsa-saṁvādākhyābhir iti | purāṇa-saṁhitāṁ—purāṇa-saṅgrahaṁ cakre iti | tathā cākhyānādibhiḥ susajjīkṛtya purāṇāni prāduścakāra | yathoktaṁ gītā-vyākhyāyāṁ svāmi-caraṇaiḥ—“prāyeṇa bhagavan-mukh-niḥsṛtān eva ślokān vyalikhat | kāṁścit tat-saṅgataye svayaṁ ca vyaracayat”[1.1] iti |","राधामोहनगोस्वामी : यजुर्वेदस्य वेदसामान्यरूपत्वकथनम् ऋक्सामाथर्ववेदातिरिक्तस्य यजुर्वेदत्वलाभाय । अत एवोक्तं—यजुः सर्वत्र गीयत इति चतुर्धा विभागनिमित्तम् अध्वर्युत्वादि कार्यभेद इति भावः । यच् छिष्टं तु यजुर्वेदः इति । अध्वर्युत्वलक्षणवेदेभ्यः कांश्चिद् वेदान् आदाय यजुरादिनामभेदेन विभागे कृते यद् अवशिष्टम्, तद् अपि यजुर्वेदनामकम् इत्य् अर्थः । न च—अस्य महतो भूतस्य इति श्रुतौ ऋगादिक्रमेणैव जातत्वात्, कथम् एकस्य यजुर्वेदस्य ऋगादिभेदेन विभागो व्यासकृत इति वाच्यम् । ऋगादिक्रमेण वेद उद्भूतः । तत्र यजुर्वेदस्य प्रचुरत्वेन समुदितस्य यजुर्वेदत्वेनैकत्वेन च व्यवहारात् तथोक्तेः, आधिक्येन व्यपदेशा भवन्ति इति न्यायात् । ऋगादिभेदेन वेदस्य चतुर्धाव्यवहारस्य प्राक् सत्त्वेऽपि तदधिकारिभेदकार्यभेदव्यवस्थया व्यासेन व्यवस्थापनात् तस्य विभागकृत्त्वव्यपदेश इति भावः । आख्यानैर् इति प्रश्नोत्तरवचननिबन्धैः सूतशौनकसंवादरूपैर् इत्य् अर्थः । उपाख्यानैः—प्राथमिकग्रन्थाभिधेयप्रकाशकैः शुकपरीक्षित्संवादादिरूपैः । गाथाभिः—पुरावृत्तेतिहाससंवादाख्याभिर् इति । पुराणसंहितां—पुराणसङ्ग्रहं चक्रे इति । तथा चाख्यानादिभिः सुसज्जीकृत्य पुराणानि प्रादुश्चकार । यथोक्तं गीताव्याख्यायां स्वामिचरणैः—“प्रायेण भगवन्मुख्निःसृतान् एव श्लोकान् व्यलिखत् । कांश्चित् तत्सङ्गतये स्वयं च व्यरचयत्”[१.१] इति ।","राधामोहनगोस्वामी : यजुर्वेदस्य वेदसामान्यरूपत्वकथनम् ऋक्सामाथर्ववेदातिरिक्तस्य यजुर्वेदत्वलाभाय । अत एवोक्तꣳ—यजुः सर्वत्र गीयत इति चतुर्धा विभागनिमित्तम् अध्वर्युत्वादि कार्यभेद इति भावः । यच् छिष्टꣳ तु यजुर्वेदः इति । अध्वर्युत्वलक्षणवेदेभ्यः काꣳश्चिद् वेदान् आदाय यजुरादिनामभेदेन विभागे कृते यद् अवशिष्टम्, तद् अपि यजुर्वेदनामकम् इत्य् अर्थः । न च—अस्य महतो भूतस्य इति श्रुतौ ऋगादिक्रमेणैव जातत्वात्, कथम् एकस्य यजुर्वेदस्य ऋगादिभेदेन विभागो व्यासकृत इति वाच्यम् । ऋगादिक्रमेण वेद उद्भूतः । तत्र यजुर्वेदस्य प्रचुरत्वेन समुदितस्य यजुर्वेदत्वेनैकत्वेन च व्यवहारात् तथोक्तेः, आधिक्येन व्यपदेशा भवन्ति इति न्यायात् । ऋगादिभेदेन वेदस्य चतुर्धाव्यवहारस्य प्राक् सत्त्वेऽपि तदधिकारिभेदकार्यभेदव्यवस्थया व्यासेन व्यवस्थापनात् तस्य विभागकृत्त्वव्यपदेश इति भावः । आख्यानैर् इति प्रश्नोत्तरवचननिबन्धैः सूतशौनकसꣳवादरूपैर् इत्य् अर्थः । उपाख्यानैः—प्राथमिकग्रन्थाभिधेयप्रकाशकैः शुकपरीक्षित्सꣳवादादिरूपैः । गाथाभिः—पुरावृत्तेतिहाससꣳवादाख्याभिर् इति । पुराणसꣳहिताꣳ—पुराणसङ्ग्रहꣳ चक्रे इति । तथा चाख्यानादिभिः सुसज्जीकृत्य पुराणानि प्रादुश्चकार । यथोक्तꣳ गीताव्याख्यायाꣳ स्वामिचरणैः—“प्रायेण भगवन्मुख्निःसृतान् एव श्लोकान् व्यलिखत् । काꣳश्चित् तत्सङ्गतये स्वयꣳ च व्यरचयत्”[१.१] इति ।"
773,vyaktaṁ prathama-skandhe—,व्यक्तं प्रथमस्कन्धे—,व्यक्तꣳ प्रथमस्कन्धे—
775,sa saṁhitāṁ bhāgavatīṁ kṛtvānukramya cātma-jam |,स संहितां भागवतीं कृत्वानुक्रम्य चात्मजम् ।,स सꣳहिताꣳ भागवतीꣳ कृत्वानुक्रम्य चात्मजम् ।
776,śukam adhyāpayām āsa nivṛtti-nirataṁ muniḥ || [bhā.pu. 1.7.8] iti |,शुकम् अध्यापयाम् आस निवृत्तिनिरतं मुनिः ॥ [भा.पु. १.७.८] इति ।,शुकम् अध्यापयाम् आस निवृत्तिनिरतꣳ मुनिः ॥ [भा.पु. १.७.८] इति ।
778,"iti vyākhyātaṁ ca prathama-skandha-sandarbhe—“prathamataḥ sāmānyatayā kṛtvā śrī-nāradopadeśānantaram anukramya tat-sammaty-anukrameṇa viśeṣataḥ kṛtvā” iti | viniyogaḥ—adhyayana-viṣayatvam | nāvedatve sambhavati—brahma-padasya veda eva śakter iti bhāvaḥ | tad-artha iti | tasya śatakoṭi-pravistarasya arthaḥ | tātparya-viṣayārthopasaṁhāro yatra saḥ, caturlakṣa ity arthaḥ | tad-arthaḥ ity asya prakārāntareṇa svayam āha—atra ca ity-ādi | purāṇetihāsayor api yac chiṣṭam ity anena grahaṇam, tasyāpi yajurvedāntargatatvād iti bhāvaḥ | tasya yajurveda-bhāgasyābhidheya-bhāgo yatra saḥ | atra ity asyārtham āha-martya-loka iti | na tu vacanāntareṇeti yajurvedābhidheya-bhāga-viśeṣātmake purāṇa-viśiṣṭasya caturlakṣatvāśrayasya svarūpeṇaivābhihitaḥ, na tu vacanāntara-rūpeṇeti bhāvaḥ | vastutaḥ abhidheya-bhāgaḥ—purāṇa-tātparya-viṣayībhūto’rtha ity arthaḥ , na tu bahu-vrīhiṇā grantha ity arthaḥ | caturlakṣaḥ—caturtha-ślokātmaka-grantha-pratipādyaḥ, saṅkṣepeṇa sāra-saṅgraheṇa, yajurvedāt śatakoṭi-pravistarātmaka-yajurveda-bhāgāt sārārtha-saṅgrahaka-tad-ghaṭaka-vākyeneti yāvat niveśitaḥ kṛtaḥ | apauruṣeya-purāṇa-vacana-ghaṭitaś caturlakṣaḥ purāṇam iti paryavasitam | ambarīṣa śuka-proktaṁ nityaṁ bhāgavataṁ śṛṇu ity anenāṁśa-viśeṣasyaiva bhāgavatatvena nirdeśaḥ | tad-yuktatvenāṣṭādaśa-sāhasrātmakaṁ bhāgavatam iti gīyata iti | evaṁ ca bhāgavata-śabdo’pauruṣeya-purāṇa-bhāga-viśeṣa-paraḥ | janmādy asya ity-ādi viṣṇurātam amūmucat ity anta-grantha-paraś ca | yathā veda-śabdo’pauruṣeyatvena ṛg-vedādi-purāṇānta-paraś caturveda-paraś ceti | evaṁ bhārata-brāhma-pādmādi-padam, purāṇetihāsa-padaṁ ca bodhyam ||14||","इति व्याख्यातं च प्रथमस्कन्धसन्दर्भे—“प्रथमतः सामान्यतया कृत्वा श्रीनारदोपदेशानन्तरम् अनुक्रम्य तत्सम्मत्यनुक्रमेण विशेषतः कृत्वा” इति । विनियोगः—अध्ययनविषयत्वम् । नावेदत्वे सम्भवति—ब्रह्मपदस्य वेद एव शक्तेर् इति भावः । तदर्थ इति । तस्य शतकोटिप्रविस्तरस्य अर्थः । तात्पर्यविषयार्थोपसंहारो यत्र सः, चतुर्लक्ष इत्य् अर्थः । तदर्थः इत्य् अस्य प्रकारान्तरेण स्वयम् आह—अत्र च इत्यादि । पुराणेतिहासयोर् अपि यच् छिष्टम् इत्य् अनेन ग्रहणम्, तस्यापि यजुर्वेदान्तर्गतत्वाद् इति भावः । तस्य यजुर्वेदभागस्याभिधेयभागो यत्र सः । अत्र इत्य् अस्यार्थम् आहमर्त्यलोक इति । न तु वचनान्तरेणेति यजुर्वेदाभिधेयभागविशेषात्मके पुराणविशिष्टस्य चतुर्लक्षत्वाश्रयस्य स्वरूपेणैवाभिहितः, न तु वचनान्तररूपेणेति भावः । वस्तुतः अभिधेयभागः—पुराणतात्पर्यविषयीभूतोऽर्थ इत्य् अर्थः , न तु बहुव्रीहिणा ग्रन्थ इत्य् अर्थः । चतुर्लक्षः—चतुर्थश्लोकात्मकग्रन्थप्रतिपाद्यः, सङ्क्षेपेण सारसङ्ग्रहेण, यजुर्वेदात् शतकोटिप्रविस्तरात्मकयजुर्वेदभागात् सारार्थसङ्ग्रहकतद्घटकवाक्येनेति यावत् निवेशितः कृतः । अपौरुषेयपुराणवचनघटितश् चतुर्लक्षः पुराणम् इति पर्यवसितम् । अम्बरीष शुकप्रोक्तं नित्यं भागवतं शृणु इत्य् अनेनांशविशेषस्यैव भागवतत्वेन निर्देशः । तद्युक्तत्वेनाष्टादशसाहस्रात्मकं भागवतम् इति गीयत इति । एवं च भागवतशब्दोऽपौरुषेयपुराणभागविशेषपरः । जन्माद्य् अस्य इत्यादि विष्णुरातम् अमूमुचत् इत्य् अन्तग्रन्थपरश् च । यथा वेदशब्दोऽपौरुषेयत्वेन ऋग्वेदादिपुराणान्तपरश् चतुर्वेदपरश् चेति । एवं भारतब्राह्मपाद्मादिपदम्, पुराणेतिहासपदं च बोध्यम् ॥१४॥","इति व्याख्यातꣳ च प्रथमस्कन्धसन्दर्भे—“प्रथमतः सामान्यतया कृत्वा श्रीनारदोपदेशानन्तरम् अनुक्रम्य तत्सम्मत्यनुक्रमेण विशेषतः कृत्वा” इति । विनियोगः—अध्ययनविषयत्वम् । नावेदत्वे सम्भवति—ब्रह्मपदस्य वेद एव शक्तेर् इति भावः । तदर्थ इति । तस्य शतकोटिप्रविस्तरस्य अर्थः । तात्पर्यविषयार्थोपसꣳहारो यत्र सः, चतुर्लक्ष इत्य् अर्थः । तदर्थः इत्य् अस्य प्रकारान्तरेण स्वयम् आह—अत्र च इत्यादि । पुराणेतिहासयोर् अपि यच् छिष्टम् इत्य् अनेन ग्रहणम्, तस्यापि यजुर्वेदान्तर्गतत्वाद् इति भावः । तस्य यजुर्वेदभागस्याभिधेयभागो यत्र सः । अत्र इत्य् अस्यार्थम् आहमर्त्यलोक इति । न तु वचनान्तरेणेति यजुर्वेदाभिधेयभागविशेषात्मके पुराणविशिष्टस्य चतुर्लक्षत्वाश्रयस्य स्वरूपेणैवाभिहितः, न तु वचनान्तररूपेणेति भावः । वस्तुतः अभिधेयभागः—पुराणतात्पर्यविषयीभूतोऽर्थ इत्य् अर्थः , न तु बहुव्रीहिणा ग्रन्थ इत्य् अर्थः । चतुर्लक्षः—चतुर्थश्लोकात्मकग्रन्थप्रतिपाद्यः, सङ्क्षेपेण सारसङ्ग्रहेण, यजुर्वेदात् शतकोटिप्रविस्तरात्मकयजुर्वेदभागात् सारार्थसङ्ग्रहकतद्घटकवाक्येनेति यावत् निवेशितः कृतः । अपौरुषेयपुराणवचनघटितश् चतुर्लक्षः पुराणम् इति पर्यवसितम् । अम्बरीष शुकप्रोक्तꣳ नित्यꣳ भागवतꣳ शृणु इत्य् अनेनाꣳशविशेषस्यैव भागवतत्वेन निर्देशः । तद्युक्तत्वेनाष्टादशसाहस्रात्मकꣳ भागवतम् इति गीयत इति । एवꣳ च भागवतशब्दोऽपौरुषेयपुराणभागविशेषपरः । जन्माद्य् अस्य इत्यादि विष्णुरातम् अमूमुचत् इत्य् अन्तग्रन्थपरश् च । यथा वेदशब्दोऽपौरुषेयत्वेन ऋग्वेदादिपुराणान्तपरश् चतुर्वेदपरश् चेति । एवꣳ भारतब्राह्मपाद्मादिपदम्, पुराणेतिहासपदꣳ च बोध्यम् ॥१४॥"
